family,stem,dataset,setting,seed,record_n,record_mse_norm,record_rmse_norm,record_mae_norm,record_ci,record_mse_raw,record_rmse_raw,record_mae_raw,unique_n,unique_mse_norm,unique_rmse_norm,unique_mae_norm,unique_ci,unique_mse_raw,unique_rmse_raw,unique_mae_raw,plan__fusion,plan__baseline,plan__variant
primary,kiba_warm_concat_seed42,KIBA,warm,42,11803,0.0006773397629073036,0.02602575191819256,0.015837280775827443,0.8522478008612806,0.20038837787128733,0.44764760456332986,0.2724040721044568,11759,0.0006742467119315852,0.02596626103102996,0.01578933582061759,0.8520795921703878,0.19947331057177278,0.44662435062563793,0.27157941026882365,concat,,
primary,kiba_warm_concat_seed123,KIBA,warm,123,11803,0.000664805017539747,0.02578381309154538,0.015775568354668118,0.854356807490778,0.1966800214026622,0.4434862133174629,0.2713426073832602,11759,0.0006626525170836821,0.025742037935712902,0.015723245858219707,0.8541224059812546,0.19604321237655886,0.4427676731385873,0.270442651052564,concat,,
primary,kiba_warm_concat_seed2026,KIBA,warm,2026,11803,0.0006507384354251512,0.025509575367401772,0.015964629227838548,0.8542871252837037,0.19251847689206344,0.4387692752370697,0.2745944883378402,11759,0.0006484357400972494,0.025464401428214434,0.01592311730262462,0.8540008671119033,0.19183723328765812,0.4379922753744158,0.27388047577285307,concat,,
primary,kiba_warm_product_seed42,KIBA,warm,42,11803,0.0006449262303341754,0.02539539781799402,0.015570456412225762,0.8539550908576868,0.19079895824895785,0.4368054008926147,0.26781464515606823,11759,0.0006423598538164745,0.025344819072474642,0.015524596258828065,0.8537305792927448,0.19003970557319336,0.4359354373908978,0.267025842285822,product,,
primary,kiba_warm_product_seed123,KIBA,warm,123,11803,0.0006363906225172168,0.02522678383221327,0.015375380408791155,0.8537864732790298,0.1882737313270299,0.4339052100713126,0.2644593028812405,11759,0.0006328475410052234,0.025156461217850642,0.015320669001591838,0.8536427451224343,0.18722552421483163,0.4326956484815067,0.26351825685682406,product,,
primary,kiba_warm_product_seed2026,KIBA,warm,2026,11803,0.0006451170577565166,0.025399154666179674,0.015261432593892734,0.8559608724613199,0.19085541381189744,0.43687001935575465,0.2624993800115828,11759,0.0006421559242615388,0.025340795651706337,0.015206684184606082,0.8558147628295338,0.18997937379444446,0.4358662338314869,0.2615576975446224,product,,
primary,kiba_warm_attention_seed42,KIBA,warm,42,11803,0.0007174478982062129,0.026785217904773763,0.016664670229382325,0.8445783697288102,0.21225421627636332,0.4607105558551522,0.2866353192203529,11759,0.0007146495783414889,0.02673293059770082,0.016615491232292404,0.8443488617802268,0.21142634404862024,0.4598112047880306,0.2857894316428745,attention,,
primary,kiba_warm_attention_seed123,KIBA,warm,123,11803,0.0007167909012005455,0.02677295092440401,0.016353747705418226,0.8450212290814629,0.2120598462254056,0.46049956159089406,0.28128739599819913,11759,0.0007140934668319667,0.026722527328678452,0.01630449164538943,0.8447654506364161,0.21126182058578616,0.45963226669347984,0.28044018292433953,attention,,
primary,kiba_warm_attention_seed2026,KIBA,warm,2026,11803,0.0007128164808160881,0.02669862320075865,0.01670759503724039,0.8443746301312028,0.21088402915776214,0.45922111140251615,0.2873736336204288,11759,0.0007104831042650934,0.026654888937399333,0.01666378582664192,0.8440401799791151,0.21019370863086767,0.4584688742225231,0.2866201073344693,attention,,
primary,kiba_cold_drug_concat_seed42,KIBA,cold_drug,42,11800,0.0011232092197815237,0.033514313655235786,0.021661160820621556,0.7720752089739765,0.332170834159663,0.5763426360765469,0.37250503340935026,11800,0.0011232091133352466,0.03351431206716388,0.021661158001566816,0.7720721424627295,0.33217080267991006,0.5763426087666172,0.37250498493031947,concat,,
